Date,Int,Pressure,PumpState
2017-08-24 18:44:44.970,0,273.31569,
2017-08-24 18:44:45.280,0,235.143121,
2017-08-24 18:44:45.410,0,221.569397,
2017-08-24 18:44:45.690,0,184.743234,
2017-08-24 18:44:45.980,0,151.83293,
2017-08-24 18:44:46.300,0,126.33923,
2017-08-24 18:44:46.700,0,101.567202,
2017-08-24 18:44:47.020,0,86.8592625,
2017-08-24 18:44:47.310,0,79.404096,
2017-08-24 18:44:47.640,0,67.4757695,
2017-08-24 18:44:47.920,0,62.7525278,
2017-08-24 18:44:48.170,0,58.9281757,
2017-08-24 18:44:48.440,0,55.3015742,
2017-08-24 18:44:48.690,0,50.7592843,
2017-08-24 18:44:48.950,0,47.045952,
2017-08-24 18:44:49.220,0,43.0841827,
2017-08-24 18:44:49.660,0,40.3002001,
2017-08-24 18:44:49.920,0,37.6688822,
2017-08-24 18:44:50.190,0,35.18337,
2017-08-24 18:44:50.690,0,32.8370435,
2017-08-24 18:44:50.950,0,84.3115309,
2017-08-24 18:44:51.250,0,208.663017,
2017-08-24 18:44:51.340,0,227.303346,
2017-08-24 18:44:51.660,0,253.621961,
2017-08-24 18:44:51.950,0,282.476125,
2017-08-24 18:44:52.280,0,299.135723,
2017-08-24 18:44:52.980,0,271.065418,
2017-08-24 18:44:53.410,0,243.210149,
2017-08-24 18:44:53.700,0,221.569397,
2017-08-24 18:44:54.020,0,184.743234,
2017-08-24 18:44:54.330,0,158.841511,
2017-08-24 18:44:54.660,0,142.459275,
2017-08-24 18:44:54.750,0,129.915846,
2017-08-24 18:44:55.050,0,119.433905,
2017-08-24 18:44:55.340,0,102.551928,
2017-08-24 18:44:55.660,0,94.894103,
2017-08-24 18:44:55.970,0,83.4763727,
2017-08-24 18:44:56.280,0,78.6100167,
2017-08-24 18:44:56.670,0,72.4942045,
2017-08-24 18:44:56.940,0,66.7832857,
2017-08-24 18:44:57.200,0,62.7525278,
2017-08-24 18:44:57.410,0,57.6977555,
2017-08-24 18:44:57.920,0,53.5598024,
2017-08-24 18:44:58.420,0,49.1388078,
2017-08-24 18:44:58.730,0,45.5259046,
2017-08-24 18:44:59.250,0,42.6092855,
2017-08-24 18:44:59.670,0,39.8512336,
2017-08-24 18:44:59.970,0,37.2446865,
2017-08-24 18:45:00.670,0,34.7828253,
2017-08-24 18:45:01.440,0,32.4590692,
2017-08-24 18:45:02.200,0,30.2670692,
2017-08-24 18:45:03.420,0,28.2007027,
2017-08-24 18:45:04.670,0,26.2540675,
2017-08-24 18:45:05.920,0,24.4214763,
2017-08-24 18:45:07.920,0,22.6974513,
2017-08-24 18:45:10.420,0,21.0767188,
2017-08-24 18:45:13.190,0,19.5542036,
2017-08-24 18:45:16.190,0,18.1250239,
2017-08-24 18:45:19.940,0,16.7844862,
2017-08-24 18:45:23.940,0,15.52808,
2017-08-24 18:45:28.690,0,14.3514729,
2017-08-24 18:45:34.440,0,13.2505056,
2017-08-24 18:45:40.440,0,12.221187,
2017-08-24 18:45:47.440,0,11.2596895,
2017-08-24 18:45:55.690,0,10.3623441,
2017-08-24 18:46:05.920,0,9.52563621,
2017-08-24 18:46:18.920,0,8.74620041,
2017-08-24 18:46:35.170,0,8.02081654,
2017-08-24 18:46:42.420,0,,2.0
2017-08-24 18:46:48.140,0,7.34640503,
2017-08-24 18:46:48.730,0,,
2017-08-24 18:46:49.060,0,6.72002264,
2017-08-24 18:46:49.980,0,6.13885818,
2017-08-24 18:46:50.270,0,,
2017-08-24 18:46:50.700,0,5.60022835,
2017-08-24 18:46:51.950,0,5.10157363,
2017-08-24 18:46:52.220,0,,
2017-08-24 18:46:53.450,0,4.64045425,
2017-08-24 18:46:55.450,0,,
2017-08-24 18:46:55.720,0,4.21454626,
2017-08-24 18:46:58.700,0,3.82163759,
2017-08-24 18:47:01.200,0,,
2017-08-24 18:47:05.200,0,3.45962432,
2017-08-24 18:47:20.700,0,,
2017-08-24 18:47:21.220,0,3.12650692,
2017-08-24 18:47:46.000,0,,
2017-08-24 18:47:46.280,0,3.45962432,
2017-08-24 18:47:47.700,0,3.82163759,
2017-08-24 18:47:48.980,0,4.21454626,
2017-08-24 18:47:49.700,0,,
2017-08-24 18:47:51.220,0,4.64045425,
